Section,version_name,type,name_group,parent_version,design_team,obsolete,icon,# ship_mtg_armor_upgrade,# submarine_mtg_engine_upgrade,ship_ASW_upgrade,ship_anti_air_upgrade,ship_mtg_armor_sub_upgrade,ship_mtg_armor_upgrade,ship_mtg_carrier_engine_upgrade,ship_mtg_deck_space_upgrade,ship_mtg_engine_upgrade,ship_mtg_hevy_engine_upgrade,ship_mtg_light_engine_upgrade,ship_mtg_mid_engine_upgrade,ship_mtg_naval_range_upgrade,ship_mtg_sp_hevy_engine_upgrade,submarine_mtg_engine_upgrade,# fixed_ship_armor_slot,# fixed_ship_deck_slot_2,# front_1_custom_slot,# front_2_custom_slot,# mid_3_custom_slot,# rear_2_custom_slot,fixed_ship_anti_air_slot,fixed_ship_armor_slot,fixed_ship_battery_slot,fixed_ship_deck_slot_1,fixed_ship_deck_slot_2,fixed_ship_deck_slot_3,fixed_ship_engine_slot,fixed_ship_fire_control_system_slot,fixed_ship_missile_slot,fixed_ship_radar_slot,fixed_ship_secondaries_slot,fixed_ship_sonar_slot,fixed_ship_sub_snorkel_slot,fixed_ship_torpedo_depth_charge_slot,fixed_ship_torpedo_slot,front_1_custom_slot,front_2_custom_slot,mid_1_custom_slot,mid_2_custom_slot,mid_3_custom_slot,rear_1_custom_slot,rear_2_custom_slot
siam_navy,Chakri Naruebet Class,ship_hull_carrier_1,SIA_HISTORICAL_CV,,,,,,,,,,3,6,5,,,,,6,,,,,,,,,ship_old_anti_air_2A,sm_armor_3,,flush_deck,ship_armor_carrier_deck,,SM_engine_2,,,ship_radar_3,ship_dp_old_light_battery_3,,,,,ship_anti_air_rocket_2,,ship_depth_charge_1,,,,
siam_navy,Great Pleiades Class,ship_hull_cruiser_coastal_defense_ship_2,SIA_HISTORICAL_BB,0,,,,,,,,,10,,,,,,7,10,,,,,,,,,ship_dp_Bofors_battery_2,sm_armor_3,ship_JAP_heavy_battery,,,,SM_engine_6,ship_fire_control_system_3,,ship_radar_3,ship_old_secondaries_2,,,,,ship_ITA_light_medium_battery,,dp_GER_light_battery,ship_JAP_light_medium_battery,,ship_JAP_heavy_battery,
siam_navy,Dhonburi Class,ship_hull_cruiser_coastal_defense_ship_1,SIA_HISTORICAL_BB,0,,,,,,,,,6,,,,,,10,8,,,,,,,,,ship_dp_Bofors_battery_2,sm_armor_2,ship_old_medium_battery_3,,,,SM_engine_6,ship_fire_control_system_3,,ship_radar_3,ship_old_secondaries_2,,,,,ship_JAP_light_medium_battery,,ship_airplane_launcher_2,ship_torpedo_2,,ship_old_medium_battery_3,
siam_navy,Sri Ayuthia Class,ship_hull_cruiser_2,SIA_HISTORICAL_CA,0,,,,,,,,,5,,,,,,8,4,,,,,,,,,ship_dp_old_light_battery_3,sm_armor_2,ship_medium_battery_1,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_3,dp_ship_old_secondaries_3,,,,,,,ship_medium_battery_1,ship_airplane_launcher_2,,ship_medium_battery_1,
siam_navy,Doi Ang Khang Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,,,,,,5,,,,,,8,4,,,,,,,,,ship_dp_old_light_battery_3,sm_armor_2,ship_old_medium_battery_3,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_3,dp_ship_old_secondaries_3,,,,,,,ship_old_medium_battery_3,ship_JAP_torpedo,,ship_old_medium_battery_3,
siam_navy,Phu Kradueng Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,,,,,,6,,,,,,8,4,,,,,,,,,ship_dp_old_light_battery_3,sm_armor_2,ship_old_medium_battery_2,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_3,dp_ship_old_secondaries_3,,,,,,,ship_old_medium_battery_2,ship_JAP_torpedo,,ship_old_medium_battery_2,
siam_navy,Taksin Class,ship_hull_cruiser_1,SIA_HISTORICAL_CL,0,,,,4,,,,,,,,,,,3,3,,,,,,,,,ship_old_anti_air_2A,sm_armor_1,dp_GER_light_battery,,,,SM_engine_2,ship_fire_control_system_2,,ship_radar_2,ship_dp_Bofors_battery_1,,,,,dp_GER_light_battery,,dp_GER_light_battery,dp_GER_light_battery,,ship_depth_charge_2,
siam_navy,Bali Class,ship_hull_cruiser_2,SIA_HISTORICAL_CL,0,,,,,,,,,2,,,,,,4,3,,,,,,,,,ship_old_anti_air_2A,sm_armor_1,dp_GER_light_battery,,,,SM_engine_2,ship_fire_control_system_2,,ship_radar_2,ship_dp_Bofors_battery_1,,,,,dp_GER_light_battery,,dp_GER_light_battery,ship_torpedo_2,,ship_airplane_launcher_2,
siam_navy,Maeklong Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,,,5,5,,,,,10,,,,10,,,,,,,,,ship_old_anti_air_3,,ship_old_light_battery_2,,,,SM_engine_2,,,ship_sonar_3,,,,ship_mine_layer_2,,ship_torpedo_1,,ship_airplane_launcher_1,,,,
siam_navy,Phra Ruang Class,ship_hull_light_0,SIA_HISTORICAL_DD,,,,,,,,,,0,,,,,5,,6,,,,,,,,,ship_old_anti_air_4A,,ship_ENG_light_battery_4,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_2,,,,,ship_torpedo_2,,,,,,ship_ENG_light_battery_4,
